"","sim","fold","alg","r","lhat"
"1","TCGA","1","PCA","1","0.382978723404255"
"2","TCGA","1","PCA","2","0.170212765957447"
"3","TCGA","1","PCA","3","0.25531914893617"
"4","TCGA","1","PCA","4","0.25531914893617"
"5","TCGA","1","PCA","5","0.297872340425532"
"6","TCGA","1","PCA","6","0.276595744680851"
"7","TCGA","1","PCA","7","0.25531914893617"
"8","TCGA","1","PCA","8","0.276595744680851"
"9","TCGA","1","PCA","9","0.276595744680851"
"10","TCGA","1","PCA","10","0.297872340425532"
"11","TCGA","1","PCA","11","0.319148936170213"
"12","TCGA","1","PCA","12","0.297872340425532"
"13","TCGA","1","PCA","13","0.297872340425532"
"14","TCGA","1","PCA","14","0.297872340425532"
"15","TCGA","1","PCA","15","0.319148936170213"
"16","TCGA","1","PCA","16","0.276595744680851"
"17","TCGA","1","PCA","18","0.276595744680851"
"18","TCGA","1","PCA","19","0.297872340425532"
"19","TCGA","1","PCA","21","0.319148936170213"
"20","TCGA","1","PCA","23","0.319148936170213"
"21","TCGA","1","PCA","24","0.276595744680851"
"22","TCGA","1","PCA","26","0.319148936170213"
"23","TCGA","1","PCA","29","0.297872340425532"
"24","TCGA","1","PCA","31","0.297872340425532"
"25","TCGA","1","PCA","34","0.319148936170213"
"26","TCGA","1","PCA","36","0.25531914893617"
"27","TCGA","1","PCA","39","0.276595744680851"
"28","TCGA","1","PCA","43","0.25531914893617"
"29","TCGA","1","PCA","46","0.319148936170213"
"30","TCGA","1","PCA","50","0.319148936170213"
"31","TCGA","2","PCA","1","0.319148936170213"
"32","TCGA","2","PCA","2","0.25531914893617"
"33","TCGA","2","PCA","3","0.234042553191489"
"34","TCGA","2","PCA","4","0.234042553191489"
"35","TCGA","2","PCA","5","0.276595744680851"
"36","TCGA","2","PCA","6","0.276595744680851"
"37","TCGA","2","PCA","7","0.212765957446808"
"38","TCGA","2","PCA","8","0.191489361702128"
"39","TCGA","2","PCA","9","0.234042553191489"
"40","TCGA","2","PCA","10","0.212765957446808"
"41","TCGA","2","PCA","11","0.212765957446808"
"42","TCGA","2","PCA","12","0.234042553191489"
"43","TCGA","2","PCA","13","0.234042553191489"
"44","TCGA","2","PCA","14","0.212765957446808"
"45","TCGA","2","PCA","15","0.234042553191489"
"46","TCGA","2","PCA","16","0.191489361702128"
"47","TCGA","2","PCA","18","0.212765957446808"
"48","TCGA","2","PCA","19","0.25531914893617"
"49","TCGA","2","PCA","21","0.170212765957447"
"50","TCGA","2","PCA","23","0.234042553191489"
"51","TCGA","2","PCA","24","0.297872340425532"
"52","TCGA","2","PCA","26","0.25531914893617"
"53","TCGA","2","PCA","29","0.25531914893617"
"54","TCGA","2","PCA","31","0.25531914893617"
"55","TCGA","2","PCA","34","0.234042553191489"
"56","TCGA","2","PCA","36","0.297872340425532"
"57","TCGA","2","PCA","39","0.234042553191489"
"58","TCGA","2","PCA","43","0.234042553191489"
"59","TCGA","2","PCA","46","0.234042553191489"
"60","TCGA","2","PCA","50","0.276595744680851"
"61","TCGA","3","PCA","1","0.319148936170213"
"62","TCGA","3","PCA","2","0.25531914893617"
"63","TCGA","3","PCA","3","0.340425531914894"
"64","TCGA","3","PCA","4","0.191489361702128"
"65","TCGA","3","PCA","5","0.234042553191489"
"66","TCGA","3","PCA","6","0.170212765957447"
"67","TCGA","3","PCA","7","0.148936170212766"
"68","TCGA","3","PCA","8","0.191489361702128"
"69","TCGA","3","PCA","9","0.170212765957447"
"70","TCGA","3","PCA","10","0.212765957446808"
"71","TCGA","3","PCA","11","0.148936170212766"
"72","TCGA","3","PCA","12","0.234042553191489"
"73","TCGA","3","PCA","13","0.25531914893617"
"74","TCGA","3","PCA","14","0.212765957446808"
"75","TCGA","3","PCA","15","0.191489361702128"
"76","TCGA","3","PCA","16","0.191489361702128"
"77","TCGA","3","PCA","18","0.234042553191489"
"78","TCGA","3","PCA","19","0.234042553191489"
"79","TCGA","3","PCA","21","0.191489361702128"
"80","TCGA","3","PCA","23","0.234042553191489"
"81","TCGA","3","PCA","24","0.212765957446808"
"82","TCGA","3","PCA","26","0.212765957446808"
"83","TCGA","3","PCA","29","0.191489361702128"
"84","TCGA","3","PCA","31","0.212765957446808"
"85","TCGA","3","PCA","34","0.191489361702128"
"86","TCGA","3","PCA","36","0.234042553191489"
"87","TCGA","3","PCA","39","0.170212765957447"
"88","TCGA","3","PCA","43","0.234042553191489"
"89","TCGA","3","PCA","46","0.234042553191489"
"90","TCGA","3","PCA","50","0.191489361702128"
"91","TCGA","4","PCA","1","0.304347826086957"
"92","TCGA","4","PCA","2","0.326086956521739"
"93","TCGA","4","PCA","3","0.347826086956522"
"94","TCGA","4","PCA","4","0.282608695652174"
