"","sim","fold","alg","r","lhat"
"1","TCGA","1","PCA","1","0.297872340425532"
"2","TCGA","1","PCA","2","0.297872340425532"
"3","TCGA","1","PCA","3","0.297872340425532"
"4","TCGA","1","PCA","4","0.297872340425532"
"5","TCGA","1","PCA","5","0.297872340425532"
"6","TCGA","1","PCA","6","0.297872340425532"
"7","TCGA","1","PCA","7","0.297872340425532"
"8","TCGA","1","PCA","8","0.297872340425532"
"9","TCGA","1","PCA","9","0.297872340425532"
"10","TCGA","1","PCA","10","0.297872340425532"
"11","TCGA","1","PCA","11","0.297872340425532"
"12","TCGA","1","PCA","12","0.297872340425532"
"13","TCGA","1","PCA","13","0.297872340425532"
"14","TCGA","1","PCA","14","0.297872340425532"
"15","TCGA","1","PCA","15","0.297872340425532"
"16","TCGA","1","PCA","16","0.297872340425532"
"17","TCGA","1","PCA","18","0.297872340425532"
"18","TCGA","1","PCA","19","0.297872340425532"
"19","TCGA","1","PCA","21","0.297872340425532"
"20","TCGA","1","PCA","23","0.297872340425532"
"21","TCGA","1","PCA","24","0.297872340425532"
"22","TCGA","1","PCA","26","0.297872340425532"
"23","TCGA","1","PCA","29","0.297872340425532"
"24","TCGA","1","PCA","31","0.297872340425532"
"25","TCGA","1","PCA","34","0.297872340425532"
"26","TCGA","1","PCA","36","0.297872340425532"
"27","TCGA","1","PCA","39","0.297872340425532"
"28","TCGA","1","PCA","43","0.297872340425532"
"29","TCGA","1","PCA","46","0.297872340425532"
"30","TCGA","1","PCA","50","0.297872340425532"
"31","TCGA","2","PCA","1","0.212765957446808"
"32","TCGA","2","PCA","2","0.212765957446808"
"33","TCGA","2","PCA","3","0.212765957446808"
"34","TCGA","2","PCA","4","0.212765957446808"
"35","TCGA","2","PCA","5","0.212765957446808"
"36","TCGA","2","PCA","6","0.212765957446808"
"37","TCGA","2","PCA","7","0.212765957446808"
"38","TCGA","2","PCA","8","0.212765957446808"
"39","TCGA","2","PCA","9","0.212765957446808"
"40","TCGA","2","PCA","10","0.212765957446808"
"41","TCGA","2","PCA","11","0.212765957446808"
"42","TCGA","2","PCA","12","0.212765957446808"
"43","TCGA","2","PCA","13","0.212765957446808"
"44","TCGA","2","PCA","14","0.212765957446808"
"45","TCGA","2","PCA","15","0.212765957446808"
"46","TCGA","2","PCA","16","0.212765957446808"
"47","TCGA","2","PCA","18","0.212765957446808"
"48","TCGA","2","PCA","19","0.212765957446808"
"49","TCGA","2","PCA","21","0.212765957446808"
"50","TCGA","2","PCA","23","0.212765957446808"
"51","TCGA","2","PCA","24","0.212765957446808"
"52","TCGA","2","PCA","26","0.212765957446808"
"53","TCGA","2","PCA","29","0.212765957446808"
"54","TCGA","2","PCA","31","0.212765957446808"
"55","TCGA","2","PCA","34","0.212765957446808"
"56","TCGA","2","PCA","36","0.212765957446808"
"57","TCGA","2","PCA","39","0.212765957446808"
"58","TCGA","2","PCA","43","0.212765957446808"
"59","TCGA","2","PCA","46","0.212765957446808"
"60","TCGA","2","PCA","50","0.191489361702128"
"61","TCGA","3","PCA","1","0.170212765957447"
"62","TCGA","3","PCA","2","0.170212765957447"
"63","TCGA","3","PCA","3","0.170212765957447"
"64","TCGA","3","PCA","4","0.170212765957447"
"65","TCGA","3","PCA","5","0.170212765957447"
"66","TCGA","3","PCA","6","0.170212765957447"
"67","TCGA","3","PCA","7","0.170212765957447"
"68","TCGA","3","PCA","8","0.170212765957447"
"69","TCGA","3","PCA","9","0.170212765957447"
"70","TCGA","3","PCA","10","0.170212765957447"
"71","TCGA","3","PCA","11","0.170212765957447"
"72","TCGA","3","PCA","12","0.170212765957447"
"73","TCGA","3","PCA","13","0.170212765957447"
"74","TCGA","3","PCA","14","0.170212765957447"
"75","TCGA","3","PCA","15","0.170212765957447"
"76","TCGA","3","PCA","16","0.170212765957447"
"77","TCGA","3","PCA","18","0.170212765957447"
"78","TCGA","3","PCA","19","0.170212765957447"
"79","TCGA","3","PCA","21","0.170212765957447"
"80","TCGA","3","PCA","23","0.170212765957447"
"81","TCGA","3","PCA","24","0.170212765957447"
"82","TCGA","3","PCA","26","0.170212765957447"
"83","TCGA","3","PCA","29","0.170212765957447"
"84","TCGA","3","PCA","31","0.170212765957447"
"85","TCGA","3","PCA","34","0.170212765957447"
"86","TCGA","3","PCA","36","0.170212765957447"
"87","TCGA","3","PCA","39","0.170212765957447"
"88","TCGA","3","PCA","43","0.170212765957447"
"89","TCGA","3","PCA","46","0.170212765957447"
"90","TCGA","3","PCA","50","0.170212765957447"
"91","TCGA","4","PCA","1","0.195652173913043"
"92","TCGA","4","PCA","2","0.195652173913043"
"93","TCGA","4","PCA","3","0.195652173913043"
"94","TCGA","4","PCA","4","0.195652173913043"
"95","TCGA","4","PCA","5","0.195652173913043"
"96","TCGA","4","PCA","6","0.195652173913043"
"97","TCGA","4","PCA","7","0.195652173913043"
"98","TCGA","4","PCA","8","0.195652173913043"
"99","TCGA","4","PCA","9","0.195652173913043"
"100","TCGA","4","PCA","10","0.195652173913043"
"101","TCGA","4","PCA","11","0.195652173913043"
"102","TCGA","4","PCA","12","0.195652173913043"
"103","TCGA","4","PCA","13","0.195652173913043"
"104","TCGA","4","PCA","14","0.195652173913043"
"105","TCGA","4","PCA","15","0.195652173913043"
"106","TCGA","4","PCA","16","0.195652173913043"
"107","TCGA","4","PCA","18","0.195652173913043"
"108","TCGA","4","PCA","19","0.195652173913043"
"109","TCGA","4","PCA","21","0.195652173913043"
"110","TCGA","4","PCA","23","0.195652173913043"
"111","TCGA","4","PCA","24","0.195652173913043"
"112","TCGA","4","PCA","26","0.195652173913043"
"113","TCGA","4","PCA","29","0.195652173913043"
"114","TCGA","4","PCA","31","0.195652173913043"
"115","TCGA","4","PCA","34","0.195652173913043"
"116","TCGA","4","PCA","36","0.195652173913043"
"117","TCGA","4","PCA","39","0.195652173913043"
"118","TCGA","4","PCA","43","0.195652173913043"
"119","TCGA","4","PCA","46","0.195652173913043"
"120","TCGA","4","PCA","50","0.195652173913043"
"121","TCGA","5","PCA","1","0.195652173913043"
"122","TCGA","5","PCA","2","0.195652173913043"
"123","TCGA","5","PCA","3","0.195652173913043"
"124","TCGA","5","PCA","4","0.195652173913043"
"125","TCGA","5","PCA","5","0.195652173913043"
"126","TCGA","5","PCA","6","0.195652173913043"
"127","TCGA","5","PCA","7","0.195652173913043"
"128","TCGA","5","PCA","8","0.195652173913043"
"129","TCGA","5","PCA","9","0.195652173913043"
"130","TCGA","5","PCA","10","0.195652173913043"
"131","TCGA","5","PCA","11","0.195652173913043"
"132","TCGA","5","PCA","12","0.195652173913043"
"133","TCGA","5","PCA","13","0.195652173913043"
"134","TCGA","5","PCA","14","0.195652173913043"
"135","TCGA","5","PCA","15","0.195652173913043"
"136","TCGA","5","PCA","16","0.195652173913043"
"137","TCGA","5","PCA","18","0.195652173913043"
"138","TCGA","5","PCA","19","0.195652173913043"
"139","TCGA","5","PCA","21","0.195652173913043"
"140","TCGA","5","PCA","23","0.195652173913043"
"141","TCGA","5","PCA","24","0.195652173913043"
"142","TCGA","5","PCA","26","0.195652173913043"
"143","TCGA","5","PCA","29","0.195652173913043"
"144","TCGA","5","PCA","31","0.195652173913043"
"145","TCGA","5","PCA","34","0.173913043478261"
"146","TCGA","5","PCA","36","0.173913043478261"
"147","TCGA","5","PCA","39","0.173913043478261"
"148","TCGA","5","PCA","43","0.173913043478261"
"149","TCGA","5","PCA","46","0.195652173913043"
"150","TCGA","5","PCA","50","0.217391304347826"
"151","TCGA","6","PCA","1","0.173913043478261"
"152","TCGA","6","PCA","2","0.173913043478261"
"153","TCGA","6","PCA","3","0.173913043478261"
"154","TCGA","6","PCA","4","0.173913043478261"
"155","TCGA","6","PCA","5","0.173913043478261"
"156","TCGA","6","PCA","6","0.173913043478261"
"157","TCGA","6","PCA","7","0.173913043478261"
"158","TCGA","6","PCA","8","0.173913043478261"
"159","TCGA","6","PCA","9","0.173913043478261"
"160","TCGA","6","PCA","10","0.173913043478261"
"161","TCGA","6","PCA","11","0.173913043478261"
"162","TCGA","6","PCA","12","0.173913043478261"
"163","TCGA","6","PCA","13","0.173913043478261"
"164","TCGA","6","PCA","14","0.173913043478261"
"165","TCGA","6","PCA","15","0.173913043478261"
"166","TCGA","6","PCA","16","0.173913043478261"
"167","TCGA","6","PCA","18","0.173913043478261"
"168","TCGA","6","PCA","19","0.173913043478261"
"169","TCGA","6","PCA","21","0.173913043478261"
"170","TCGA","6","PCA","23","0.173913043478261"
"171","TCGA","6","PCA","24","0.173913043478261"
"172","TCGA","6","PCA","26","0.173913043478261"
"173","TCGA","6","PCA","29","0.173913043478261"
"174","TCGA","6","PCA","31","0.173913043478261"
"175","TCGA","6","PCA","34","0.173913043478261"
"176","TCGA","6","PCA","36","0.173913043478261"
"177","TCGA","6","PCA","39","0.173913043478261"
"178","TCGA","6","PCA","43","0.173913043478261"
"179","TCGA","6","PCA","46","0.173913043478261"
"180","TCGA","6","PCA","50","0.173913043478261"
"181","TCGA","7","PCA","1","0.173913043478261"
"182","TCGA","7","PCA","2","0.173913043478261"
"183","TCGA","7","PCA","3","0.173913043478261"
"184","TCGA","7","PCA","4","0.173913043478261"
"185","TCGA","7","PCA","5","0.173913043478261"
"186","TCGA","7","PCA","6","0.173913043478261"
"187","TCGA","7","PCA","7","0.173913043478261"
"188","TCGA","7","PCA","8","0.173913043478261"
"189","TCGA","7","PCA","9","0.173913043478261"
"190","TCGA","7","PCA","10","0.173913043478261"
"191","TCGA","7","PCA","11","0.173913043478261"
"192","TCGA","7","PCA","12","0.173913043478261"
"193","TCGA","7","PCA","13","0.173913043478261"
"194","TCGA","7","PCA","14","0.173913043478261"
"195","TCGA","7","PCA","15","0.173913043478261"
"196","TCGA","7","PCA","16","0.173913043478261"
"197","TCGA","7","PCA","18","0.173913043478261"
"198","TCGA","7","PCA","19","0.173913043478261"
"199","TCGA","7","PCA","21","0.173913043478261"
"200","TCGA","7","PCA","23","0.173913043478261"
"201","TCGA","7","PCA","24","0.173913043478261"
"202","TCGA","7","PCA","26","0.173913043478261"
"203","TCGA","7","PCA","29","0.173913043478261"
"204","TCGA","7","PCA","31","0.173913043478261"
"205","TCGA","7","PCA","34","0.173913043478261"
"206","TCGA","7","PCA","36","0.173913043478261"
"207","TCGA","7","PCA","39","0.173913043478261"
"208","TCGA","7","PCA","43","0.173913043478261"
"209","TCGA","7","PCA","46","0.173913043478261"
"210","TCGA","7","PCA","50","0.173913043478261"
"211","TCGA","8","PCA","1","0.173913043478261"
"212","TCGA","8","PCA","2","0.173913043478261"
"213","TCGA","8","PCA","3","0.173913043478261"
"214","TCGA","8","PCA","4","0.173913043478261"
"215","TCGA","8","PCA","5","0.173913043478261"
"216","TCGA","8","PCA","6","0.173913043478261"
"217","TCGA","8","PCA","7","0.173913043478261"
"218","TCGA","8","PCA","8","0.173913043478261"
"219","TCGA","8","PCA","9","0.173913043478261"
"220","TCGA","8","PCA","10","0.173913043478261"
"221","TCGA","8","PCA","11","0.173913043478261"
"222","TCGA","8","PCA","12","0.173913043478261"
"223","TCGA","8","PCA","13","0.173913043478261"
"224","TCGA","8","PCA","14","0.173913043478261"
"225","TCGA","8","PCA","15","0.173913043478261"
"226","TCGA","8","PCA","16","0.173913043478261"
"227","TCGA","8","PCA","18","0.173913043478261"
"228","TCGA","8","PCA","19","0.173913043478261"
"229","TCGA","8","PCA","21","0.173913043478261"
"230","TCGA","8","PCA","23","0.173913043478261"
"231","TCGA","8","PCA","24","0.173913043478261"
"232","TCGA","8","PCA","26","0.173913043478261"
"233","TCGA","8","PCA","29","0.173913043478261"
"234","TCGA","8","PCA","31","0.173913043478261"
"235","TCGA","8","PCA","34","0.173913043478261"
"236","TCGA","8","PCA","36","0.173913043478261"
"237","TCGA","8","PCA","39","0.173913043478261"
"238","TCGA","8","PCA","43","0.173913043478261"
"239","TCGA","8","PCA","46","0.173913043478261"
"240","TCGA","8","PCA","50","0.173913043478261"
"241","TCGA","9","PCA","1","0.239130434782609"
"242","TCGA","9","PCA","2","0.239130434782609"
"243","TCGA","9","PCA","3","0.239130434782609"
"244","TCGA","9","PCA","4","0.239130434782609"
"245","TCGA","9","PCA","5","0.239130434782609"
"246","TCGA","9","PCA","6","0.239130434782609"
"247","TCGA","9","PCA","7","0.239130434782609"
"248","TCGA","9","PCA","8","0.239130434782609"
"249","TCGA","9","PCA","9","0.239130434782609"
"250","TCGA","9","PCA","10","0.239130434782609"
"251","TCGA","9","PCA","11","0.239130434782609"
"252","TCGA","9","PCA","12","0.239130434782609"
"253","TCGA","9","PCA","13","0.239130434782609"
"254","TCGA","9","PCA","14","0.239130434782609"
"255","TCGA","9","PCA","15","0.239130434782609"
"256","TCGA","9","PCA","16","0.239130434782609"
"257","TCGA","9","PCA","18","0.239130434782609"
"258","TCGA","9","PCA","19","0.239130434782609"
"259","TCGA","9","PCA","21","0.239130434782609"
"260","TCGA","9","PCA","23","0.239130434782609"
"261","TCGA","9","PCA","24","0.239130434782609"
"262","TCGA","9","PCA","26","0.239130434782609"
"263","TCGA","9","PCA","29","0.239130434782609"
"264","TCGA","9","PCA","31","0.239130434782609"
"265","TCGA","9","PCA","34","0.239130434782609"
"266","TCGA","9","PCA","36","0.239130434782609"
"267","TCGA","9","PCA","39","0.239130434782609"
"268","TCGA","9","PCA","43","0.239130434782609"
"269","TCGA","9","PCA","46","0.239130434782609"
"270","TCGA","9","PCA","50","0.239130434782609"
"271","TCGA","10","PCA","1","0.282608695652174"
"272","TCGA","10","PCA","2","0.282608695652174"
"273","TCGA","10","PCA","3","0.282608695652174"
"274","TCGA","10","PCA","4","0.282608695652174"
"275","TCGA","10","PCA","5","0.282608695652174"
"276","TCGA","10","PCA","6","0.282608695652174"
"277","TCGA","10","PCA","7","0.282608695652174"
"278","TCGA","10","PCA","8","0.282608695652174"
"279","TCGA","10","PCA","9","0.282608695652174"
"280","TCGA","10","PCA","10","0.282608695652174"
"281","TCGA","10","PCA","11","0.282608695652174"
"282","TCGA","10","PCA","12","0.282608695652174"
"283","TCGA","10","PCA","13","0.282608695652174"
"284","TCGA","10","PCA","14","0.282608695652174"
"285","TCGA","10","PCA","15","0.282608695652174"
"286","TCGA","10","PCA","16","0.282608695652174"
"287","TCGA","10","PCA","18","0.282608695652174"
"288","TCGA","10","PCA","19","0.282608695652174"
"289","TCGA","10","PCA","21","0.282608695652174"
