"","sim","fold","alg","r","lhat"
"1","T2D","1","PCA","1","0.4"
"2","T2D","1","PCA","2","0.533333333333333"
"3","T2D","1","PCA","3","0.666666666666667"
"4","T2D","1","PCA","4","0.733333333333333"
"5","T2D","1","PCA","5","0.4"
"6","T2D","1","PCA","6","0.466666666666667"
"7","T2D","1","PCA","7","0.333333333333333"
"8","T2D","1","PCA","8","0.466666666666667"
"9","T2D","1","PCA","9","0.4"
"10","T2D","1","PCA","10","0.466666666666667"
"11","T2D","1","PCA","11","0.533333333333333"
"12","T2D","1","PCA","12","0.466666666666667"
"13","T2D","1","PCA","13","0.333333333333333"
"14","T2D","1","PCA","14","0.466666666666667"
"15","T2D","1","PCA","15","0.333333333333333"
"16","T2D","1","PCA","16","0.266666666666667"
"17","T2D","1","PCA","18","0.333333333333333"
"18","T2D","1","PCA","19","0.333333333333333"
"19","T2D","1","PCA","21","0.4"
"20","T2D","1","PCA","23","0.466666666666667"
"21","T2D","1","PCA","24","0.333333333333333"
"22","T2D","1","PCA","26","0.4"
"23","T2D","1","PCA","29","0.2"
"24","T2D","1","PCA","31","0.333333333333333"
"25","T2D","1","PCA","34","0.266666666666667"
"26","T2D","1","PCA","36","0.333333333333333"
"27","T2D","1","PCA","39","0.2"
"28","T2D","1","PCA","43","0.266666666666667"
"29","T2D","1","PCA","46","0.266666666666667"
"30","T2D","1","PCA","50","0.266666666666667"
"31","T2D","2","PCA","1","0.266666666666667"
"32","T2D","2","PCA","2","0.4"
"33","T2D","2","PCA","3","0.4"
"34","T2D","2","PCA","4","0.333333333333333"
"35","T2D","2","PCA","5","0.266666666666667"
"36","T2D","2","PCA","6","0.133333333333333"
"37","T2D","2","PCA","7","0.133333333333333"
"38","T2D","2","PCA","8","0.133333333333333"
"39","T2D","2","PCA","9","0.2"
"40","T2D","2","PCA","10","0.2"
"41","T2D","2","PCA","11","0.133333333333333"
"42","T2D","2","PCA","12","0.266666666666667"
"43","T2D","2","PCA","13","0.2"
"44","T2D","2","PCA","14","0.266666666666667"
"45","T2D","2","PCA","15","0.133333333333333"
"46","T2D","2","PCA","16","0.2"
"47","T2D","2","PCA","18","0.2"
"48","T2D","2","PCA","19","0.266666666666667"
"49","T2D","2","PCA","21","0.133333333333333"
"50","T2D","2","PCA","23","0.133333333333333"
"51","T2D","2","PCA","24","0.266666666666667"
"52","T2D","2","PCA","26","0.2"
"53","T2D","2","PCA","29","0.2"
"54","T2D","2","PCA","31","0.0666666666666667"
"55","T2D","2","PCA","34","0.2"
"56","T2D","2","PCA","36","0.0666666666666667"
"57","T2D","2","PCA","39","0.133333333333333"
