"","sim","fold","alg","r","lhat"
"1","T2D","1","pca+pls","1","0.533333333333333"
"2","T2D","1","pca+pls","1","0.533333333333333"
"3","T2D","1","pca+pls","27","0.2"
"4","T2D","1","pca+pls","2","0.466666666666667"
"5","T2D","1","pca+pls","3","0.533333333333333"
"6","T2D","1","pca+pls","4","0.266666666666667"
"7","T2D","1","pca+pls","5","0.266666666666667"
"8","T2D","1","pca+pls","6","0.333333333333333"
"9","T2D","1","pca+pls","7","0.333333333333333"
"10","T2D","1","pca+pls","8","0.266666666666667"
"11","T2D","1","pca+pls","9","0.333333333333333"
"12","T2D","1","pca+pls","11","0.4"
"13","T2D","1","pca+pls","13","0.333333333333333"
"14","T2D","1","pca+pls","18","0.4"
"15","T2D","1","pca+pls","19","0.333333333333333"
"16","T2D","1","pca+pls","24","0.333333333333333"
"17","T2D","1","pca+pls","30","0.333333333333333"
"18","T2D","1","pca+pls","34","0.333333333333333"
"19","T2D","1","pca+pls","16","0.4"
"20","T2D","1","pca+pls","22","0.4"
"21","T2D","1","pca+pls","32","0.266666666666667"
"22","T2D","1","pca+pls","39","0.266666666666667"
"23","T2D","1","pca+pls","10","0.266666666666667"
"24","T2D","1","pca+pls","11","0.4"
"25","T2D","1","pca+pls","12","0.4"
"26","T2D","1","pca+pls","23","0.333333333333333"
"27","T2D","1","pca+pls","36","0.4"
"28","T2D","1","pca+pls","21","0.466666666666667"
"29","T2D","1","pca+pls","39","0.4"
"30","T2D","1","pca+pls","14","0.4"
"31","T2D","1","pca+pls","42","0.266666666666667"
"32","T2D","1","pca+pls","15","0.333333333333333"
"33","T2D","1","pca+pls","18","0.333333333333333"
"34","T2D","1","pca+pls","39","0.4"
"35","T2D","1","pca+pls","16","0.4"
"36","T2D","1","pca+pls","20","0.4"
"37","T2D","1","pca+pls","33","0.4"
"38","T2D","1","pca+pls","31","0.466666666666667"
"39","T2D","1","pca+pls","35","0.333333333333333"
"40","T2D","1","pca+pls","17","0.4"
"41","T2D","1","pca+pls","26","0.4"
"42","T2D","1","pca+pls","48","0.333333333333333"
"43","T2D","1","pca+pls","44","0.333333333333333"
"44","T2D","1","pca+pls","50","0.4"
"45","T2D","1","pca+pls","38","0.333333333333333"
"46","T2D","1","pca+pls","51","0.4"
"47","T2D","1","pca+pls","28","0.333333333333333"
"48","T2D","1","pca+pls","37","0.4"
"49","T2D","1","pca+pls","41","0.4"
"50","T2D","1","pca+pls","25","0.4"
"51","T2D","1","pca+pls","28","0.333333333333333"
"52","T2D","1","pca+pls","43","0.4"
"53","T2D","1","pca+pls","46","0.4"
"54","T2D","1","pca+pls","47","0.333333333333333"
"55","T2D","1","pca+pls","52","0.4"
"56","T2D","1","pca+pls","45","0.466666666666667"
"57","T2D","1","pca+pls","57","0.4"
"58","T2D","1","pca+pls","58","0.4"
"59","T2D","1","pca+pls","29","0.4"
"60","T2D","1","pca+pls","36","0.333333333333333"
"61","T2D","1","pca+pls","54","0.333333333333333"
"62","T2D","1","pca+pls","55","0.333333333333333"
"63","T2D","1","pca+pls","40","0.333333333333333"
"64","T2D","1","pca+pls","44","0.4"
"65","T2D","1","pca+pls","48","0.4"
"66","T2D","1","pca+pls","49","0.333333333333333"
"67","T2D","1","pca+pls","56","0.333333333333333"
"68","T2D","1","pca+pls","53","0.333333333333333"
"69","T2D","1","pca+pls","59","0.333333333333333"
"70","T2D","1","pca+pls","60","0.4"
"71","T2D","1","pca+pls","61","0.333333333333333"
"72","T2D","2","pca+pls","1","0.466666666666667"
"73","T2D","2","pca+pls","1","0.466666666666667"
"74","T2D","2","pca+pls","27","0.133333333333333"
"75","T2D","2","pca+pls","2","0.133333333333333"
"76","T2D","2","pca+pls","3","0.333333333333333"
"77","T2D","2","pca+pls","4","0.133333333333333"
"78","T2D","2","pca+pls","5","0.2"
"79","T2D","2","pca+pls","6","0.133333333333333"
"80","T2D","2","pca+pls","7","0.2"
"81","T2D","2","pca+pls","8","0.133333333333333"
"82","T2D","2","pca+pls","9","0.133333333333333"
"83","T2D","2","pca+pls","11","0.133333333333333"
"84","T2D","2","pca+pls","13","0.2"
"85","T2D","2","pca+pls","18","0.2"
"86","T2D","2","pca+pls","19","0.2"
"87","T2D","2","pca+pls","24","0.2"
"88","T2D","2","pca+pls","30","0.2"
"89","T2D","2","pca+pls","34","0.2"
"90","T2D","2","pca+pls","16","0.2"
"91","T2D","2","pca+pls","22","0.2"
"92","T2D","2","pca+pls","32","0.2"
"93","T2D","2","pca+pls","39","0.2"
"94","T2D","2","pca+pls","10","0.2"
"95","T2D","2","pca+pls","11","0.133333333333333"
"96","T2D","2","pca+pls","12","0.2"
"97","T2D","2","pca+pls","23","0.133333333333333"
"98","T2D","2","pca+pls","36","0.133333333333333"
"99","T2D","2","pca+pls","21","0.0666666666666667"
"100","T2D","2","pca+pls","39","0.133333333333333"
"101","T2D","2","pca+pls","14","0.2"
"102","T2D","2","pca+pls","42","0.133333333333333"
"103","T2D","2","pca+pls","15","0.2"
"104","T2D","2","pca+pls","18","0.2"
"105","T2D","2","pca+pls","39","0.133333333333333"
"106","T2D","2","pca+pls","16","0.2"
"107","T2D","2","pca+pls","20","0.133333333333333"
"108","T2D","2","pca+pls","33","0.133333333333333"
"109","T2D","2","pca+pls","31","0.133333333333333"
"110","T2D","2","pca+pls","35","0.133333333333333"
"111","T2D","2","pca+pls","17","0.133333333333333"
"112","T2D","2","pca+pls","26","0.2"
"113","T2D","2","pca+pls","48","0.133333333333333"
"114","T2D","2","pca+pls","44","0.133333333333333"
"115","T2D","2","pca+pls","50","0.2"
"116","T2D","2","pca+pls","38","0.2"
"117","T2D","2","pca+pls","51","0.133333333333333"
"118","T2D","2","pca+pls","28","0.133333333333333"
"119","T2D","2","pca+pls","37","0.133333333333333"
"120","T2D","2","pca+pls","41","0.2"
"121","T2D","2","pca+pls","25","0.133333333333333"
"122","T2D","2","pca+pls","28","0.2"
"123","T2D","2","pca+pls","43","0.2"
"124","T2D","2","pca+pls","46","0.2"
"125","T2D","2","pca+pls","47","0.133333333333333"
"126","T2D","2","pca+pls","52","0.133333333333333"
"127","T2D","2","pca+pls","45","0.2"
"128","T2D","2","pca+pls","57","0.2"
"129","T2D","2","pca+pls","58","0.133333333333333"
"130","T2D","2","pca+pls","29","0.2"
"131","T2D","2","pca+pls","36","0.133333333333333"
"132","T2D","2","pca+pls","54","0.133333333333333"
"133","T2D","2","pca+pls","55","0.2"
"134","T2D","2","pca+pls","40","0.2"
"135","T2D","2","pca+pls","44","0.2"
"136","T2D","2","pca+pls","48","0.266666666666667"
"137","T2D","2","pca+pls","49","0.2"
"138","T2D","2","pca+pls","56","0.266666666666667"
"139","T2D","2","pca+pls","53","0.133333333333333"
"140","T2D","2","pca+pls","59","0.2"
"141","T2D","2","pca+pls","60","0.133333333333333"
"142","T2D","2","pca+pls","61","0.2"
"143","T2D","3","pca+pls","1","0.533333333333333"
"144","T2D","3","pca+pls","1","0.533333333333333"
"145","T2D","3","pca+pls","27","0.333333333333333"
"146","T2D","3","pca+pls","2","0.4"
"147","T2D","3","pca+pls","3","0.266666666666667"
"148","T2D","3","pca+pls","4","0.2"
"149","T2D","3","pca+pls","5","0.2"
"150","T2D","3","pca+pls","6","0.133333333333333"
"151","T2D","3","pca+pls","7","0.2"
"152","T2D","3","pca+pls","8","0.2"
"153","T2D","3","pca+pls","9","0.133333333333333"
"154","T2D","3","pca+pls","11","0.133333333333333"
"155","T2D","3","pca+pls","13","0.133333333333333"
"156","T2D","3","pca+pls","18","0.133333333333333"
"157","T2D","3","pca+pls","19","0.2"
"158","T2D","3","pca+pls","24","0.2"
"159","T2D","3","pca+pls","30","0.133333333333333"
"160","T2D","3","pca+pls","34","0.133333333333333"
"161","T2D","3","pca+pls","16","0.133333333333333"
"162","T2D","3","pca+pls","22","0.133333333333333"
"163","T2D","3","pca+pls","32","0.2"
"164","T2D","3","pca+pls","39","0.266666666666667"
"165","T2D","3","pca+pls","10","0.2"
"166","T2D","3","pca+pls","11","0.2"
"167","T2D","3","pca+pls","12","0.2"
"168","T2D","3","pca+pls","23","0.133333333333333"
"169","T2D","3","pca+pls","36","0.133333333333333"
"170","T2D","3","pca+pls","21","0.0666666666666667"
"171","T2D","3","pca+pls","39","0.2"
"172","T2D","3","pca+pls","14","0.133333333333333"
"173","T2D","3","pca+pls","42","0.133333333333333"
"174","T2D","3","pca+pls","15","0.2"
"175","T2D","3","pca+pls","18","0.2"
"176","T2D","3","pca+pls","39","0.0666666666666667"
"177","T2D","3","pca+pls","16","0.0666666666666667"
"178","T2D","3","pca+pls","20","0.0666666666666667"
"179","T2D","3","pca+pls","33","0.0666666666666667"
"180","T2D","3","pca+pls","31","0.0666666666666667"
"181","T2D","3","pca+pls","35","0.133333333333333"
"182","T2D","3","pca+pls","17","0.133333333333333"
"183","T2D","3","pca+pls","26","0.133333333333333"
"184","T2D","3","pca+pls","48","0.2"
"185","T2D","3","pca+pls","44","0.2"
"186","T2D","3","pca+pls","50","0.2"
"187","T2D","3","pca+pls","38","0.0666666666666667"
"188","T2D","3","pca+pls","51","0.2"
"189","T2D","3","pca+pls","28","0.133333333333333"
"190","T2D","3","pca+pls","37","0.133333333333333"
"191","T2D","3","pca+pls","41","0.133333333333333"
"192","T2D","3","pca+pls","25","0.133333333333333"
"193","T2D","3","pca+pls","28","0.133333333333333"
"194","T2D","3","pca+pls","43","0.2"
"195","T2D","3","pca+pls","46","0.2"
"196","T2D","3","pca+pls","47","0.2"
"197","T2D","3","pca+pls","52","0.2"
"198","T2D","3","pca+pls","45","0.2"
"199","T2D","3","pca+pls","57","0.133333333333333"
"200","T2D","3","pca+pls","58","0.133333333333333"
"201","T2D","3","pca+pls","29","0.2"
"202","T2D","3","pca+pls","36","0.2"
"203","T2D","3","pca+pls","54","0.266666666666667"
"204","T2D","3","pca+pls","55","0.266666666666667"
"205","T2D","3","pca+pls","40","0.266666666666667"
"206","T2D","3","pca+pls","44","0.133333333333333"
"207","T2D","3","pca+pls","48","0.2"
"208","T2D","3","pca+pls","49","0.2"
"209","T2D","3","pca+pls","56","0.133333333333333"
"210","T2D","3","pca+pls","53","0.266666666666667"
"211","T2D","3","pca+pls","59","0.2"
"212","T2D","3","pca+pls","60","0.2"
"213","T2D","3","pca+pls","61","0.133333333333333"
"214","T2D","4","pca+pls","1","0.4"
"215","T2D","4","pca+pls","1","0.4"
"216","T2D","4","pca+pls","27","0.2"
"217","T2D","4","pca+pls","2","0.333333333333333"
"218","T2D","4","pca+pls","3","0.4"
"219","T2D","4","pca+pls","4","0.266666666666667"
"220","T2D","4","pca+pls","5","0.266666666666667"
"221","T2D","4","pca+pls","6","0.266666666666667"
"222","T2D","4","pca+pls","7","0.333333333333333"
"223","T2D","4","pca+pls","8","0.333333333333333"
"224","T2D","4","pca+pls","9","0.333333333333333"
"225","T2D","4","pca+pls","11","0.333333333333333"
"226","T2D","4","pca+pls","13","0.266666666666667"
"227","T2D","4","pca+pls","18","0.266666666666667"
"228","T2D","4","pca+pls","19","0.333333333333333"
"229","T2D","4","pca+pls","24","0.266666666666667"
"230","T2D","4","pca+pls","30","0.333333333333333"
"231","T2D","4","pca+pls","34","0.333333333333333"
"232","T2D","4","pca+pls","16","0.333333333333333"
"233","T2D","4","pca+pls","22","0.266666666666667"
"234","T2D","4","pca+pls","32","0.266666666666667"
"235","T2D","4","pca+pls","39","0.266666666666667"
"236","T2D","4","pca+pls","10","0.266666666666667"
"237","T2D","4","pca+pls","11","0.333333333333333"
"238","T2D","4","pca+pls","12","0.266666666666667"
"239","T2D","4","pca+pls","23","0.333333333333333"
"240","T2D","4","pca+pls","36","0.266666666666667"
"241","T2D","4","pca+pls","21","0.333333333333333"
"242","T2D","4","pca+pls","39","0.266666666666667"
"243","T2D","4","pca+pls","14","0.333333333333333"
"244","T2D","4","pca+pls","42","0.266666666666667"
"245","T2D","4","pca+pls","15","0.333333333333333"
"246","T2D","4","pca+pls","18","0.266666666666667"
"247","T2D","4","pca+pls","39","0.333333333333333"
"248","T2D","4","pca+pls","16","0.333333333333333"
"249","T2D","4","pca+pls","20","0.266666666666667"
"250","T2D","4","pca+pls","33","0.333333333333333"
"251","T2D","4","pca+pls","31","0.266666666666667"
"252","T2D","4","pca+pls","35","0.266666666666667"
"253","T2D","4","pca+pls","17","0.333333333333333"
"254","T2D","4","pca+pls","26","0.266666666666667"
"255","T2D","4","pca+pls","48","0.333333333333333"
"256","T2D","4","pca+pls","44","0.266666666666667"
"257","T2D","4","pca+pls","50","0.333333333333333"
"258","T2D","4","pca+pls","38","0.266666666666667"
"259","T2D","4","pca+pls","51","0.266666666666667"
"260","T2D","4","pca+pls","28","0.333333333333333"
"261","T2D","4","pca+pls","37","0.266666666666667"
"262","T2D","4","pca+pls","41","0.333333333333333"
"263","T2D","4","pca+pls","25","0.333333333333333"
"264","T2D","4","pca+pls","28","0.266666666666667"
"265","T2D","4","pca+pls","43","0.333333333333333"
"266","T2D","4","pca+pls","46","0.333333333333333"
"267","T2D","4","pca+pls","47","0.266666666666667"
"268","T2D","4","pca+pls","52","0.333333333333333"
"269","T2D","4","pca+pls","45","0.266666666666667"
"270","T2D","4","pca+pls","57","0.266666666666667"
"271","T2D","4","pca+pls","58","0.333333333333333"
"272","T2D","4","pca+pls","29","0.266666666666667"
"273","T2D","4","pca+pls","36","0.333333333333333"
"274","T2D","4","pca+pls","54","0.333333333333333"
"275","T2D","4","pca+pls","55","0.266666666666667"
"276","T2D","4","pca+pls","40","0.266666666666667"
"277","T2D","4","pca+pls","44","0.266666666666667"
"278","T2D","4","pca+pls","48","0.266666666666667"
"279","T2D","4","pca+pls","49","0.266666666666667"
"280","T2D","4","pca+pls","56","0.333333333333333"
"281","T2D","4","pca+pls","53","0.333333333333333"
"282","T2D","4","pca+pls","59","0.333333333333333"
"283","T2D","4","pca+pls","60","0.333333333333333"
"284","T2D","4","pca+pls","61","0.333333333333333"
"285","T2D","5","pca+pls","1","0.266666666666667"
"286","T2D","5","pca+pls","1","0.266666666666667"
"287","T2D","5","pca+pls","27","0.333333333333333"
"288","T2D","5","pca+pls","2","0.4"
"289","T2D","5","pca+pls","3","0.333333333333333"
"290","T2D","5","pca+pls","4","0.266666666666667"
"291","T2D","5","pca+pls","5","0.333333333333333"
"292","T2D","5","pca+pls","6","0.466666666666667"
"293","T2D","5","pca+pls","7","0.333333333333333"
"294","T2D","5","pca+pls","8","0.266666666666667"
"295","T2D","5","pca+pls","9","0.4"
"296","T2D","5","pca+pls","11","0.333333333333333"
"297","T2D","5","pca+pls","13","0.333333333333333"
"298","T2D","5","pca+pls","18","0.333333333333333"
"299","T2D","5","pca+pls","19","0.266666666666667"
"300","T2D","5","pca+pls","24","0.266666666666667"
"301","T2D","5","pca+pls","30","0.266666666666667"
"302","T2D","5","pca+pls","34","0.333333333333333"
"303","T2D","5","pca+pls","16","0.266666666666667"
"304","T2D","5","pca+pls","22","0.333333333333333"
"305","T2D","5","pca+pls","32","0.333333333333333"
"306","T2D","5","pca+pls","39","0.333333333333333"
"307","T2D","5","pca+pls","10","0.333333333333333"
"308","T2D","5","pca+pls","11","0.333333333333333"
"309","T2D","5","pca+pls","12","0.333333333333333"
"310","T2D","5","pca+pls","23","0.266666666666667"
"311","T2D","5","pca+pls","36","0.333333333333333"
"312","T2D","5","pca+pls","21","0.333333333333333"
"313","T2D","5","pca+pls","39","0.333333333333333"
"314","T2D","5","pca+pls","14","0.333333333333333"
"315","T2D","5","pca+pls","42","0.333333333333333"
"316","T2D","5","pca+pls","15","0.333333333333333"
"317","T2D","5","pca+pls","18","0.333333333333333"
"318","T2D","5","pca+pls","39","0.4"
"319","T2D","5","pca+pls","16","0.333333333333333"
"320","T2D","5","pca+pls","20","0.333333333333333"
"321","T2D","5","pca+pls","33","0.333333333333333"
"322","T2D","5","pca+pls","31","0.333333333333333"
"323","T2D","5","pca+pls","35","0.333333333333333"
"324","T2D","5","pca+pls","17","0.333333333333333"
"325","T2D","5","pca+pls","26","0.333333333333333"
"326","T2D","5","pca+pls","48","0.4"
"327","T2D","5","pca+pls","44","0.333333333333333"
"328","T2D","5","pca+pls","50","0.333333333333333"
"329","T2D","5","pca+pls","38","0.333333333333333"
"330","T2D","5","pca+pls","51","0.333333333333333"
"331","T2D","5","pca+pls","28","0.333333333333333"
"332","T2D","5","pca+pls","37","0.4"
"333","T2D","5","pca+pls","41","0.333333333333333"
"334","T2D","5","pca+pls","25","0.333333333333333"
"335","T2D","5","pca+pls","28","0.333333333333333"
"336","T2D","5","pca+pls","43","0.333333333333333"
"337","T2D","5","pca+pls","46","0.333333333333333"
"338","T2D","5","pca+pls","47","0.333333333333333"
"339","T2D","5","pca+pls","52","0.333333333333333"
"340","T2D","5","pca+pls","45","0.333333333333333"
"341","T2D","5","pca+pls","57","0.333333333333333"
"342","T2D","5","pca+pls","58","0.333333333333333"
"343","T2D","5","pca+pls","29","0.333333333333333"
"344","T2D","5","pca+pls","36","0.333333333333333"
"345","T2D","5","pca+pls","54","0.4"
"346","T2D","5","pca+pls","55","0.333333333333333"
"347","T2D","5","pca+pls","40","0.266666666666667"
"348","T2D","5","pca+pls","44","0.333333333333333"
"349","T2D","5","pca+pls","48","0.333333333333333"
"350","T2D","5","pca+pls","49","0.333333333333333"
"351","T2D","5","pca+pls","56","0.333333333333333"
"352","T2D","5","pca+pls","53","0.333333333333333"
"353","T2D","5","pca+pls","59","0.4"
"354","T2D","5","pca+pls","60","0.333333333333333"
"355","T2D","5","pca+pls","61","0.333333333333333"
"356","T2D","6","pca+pls","1","0.333333333333333"
"357","T2D","6","pca+pls","1","0.4"
"358","T2D","6","pca+pls","27","0.266666666666667"
"359","T2D","6","pca+pls","2","0.266666666666667"
"360","T2D","6","pca+pls","3","0.2"
"361","T2D","6","pca+pls","4","0.266666666666667"
"362","T2D","6","pca+pls","5","0.266666666666667"
"363","T2D","6","pca+pls","6","0.266666666666667"
"364","T2D","6","pca+pls","7","0.266666666666667"
