"","sim","fold","alg","r","lhat"
"1","T2D","1","PCA","1","0.4"
"2","T2D","1","PCA","2","0.4"
"3","T2D","1","PCA","3","0.4"
"4","T2D","1","PCA","4","0.533333333333333"
"5","T2D","1","PCA","5","0.4"
"6","T2D","1","PCA","6","0.4"
"7","T2D","1","PCA","7","0.466666666666667"
"8","T2D","1","PCA","8","0.466666666666667"
"9","T2D","1","PCA","9","0.466666666666667"
"10","T2D","1","PCA","10","0.4"
"11","T2D","1","PCA","11","0.4"
"12","T2D","1","PCA","12","0.333333333333333"
"13","T2D","1","PCA","13","0.4"
"14","T2D","1","PCA","14","0.4"
"15","T2D","1","PCA","15","0.333333333333333"
"16","T2D","1","PCA","16","0.266666666666667"
"17","T2D","1","PCA","18","0.266666666666667"
"18","T2D","1","PCA","19","0.266666666666667"
"19","T2D","1","PCA","21","0.333333333333333"
"20","T2D","1","PCA","23","0.266666666666667"
"21","T2D","1","PCA","24","0.266666666666667"
"22","T2D","1","PCA","26","0.266666666666667"
"23","T2D","1","PCA","29","0.333333333333333"
"24","T2D","1","PCA","31","0.4"
"25","T2D","1","PCA","34","0.4"
"26","T2D","1","PCA","36","0.4"
"27","T2D","1","PCA","39","0.4"
"28","T2D","1","PCA","43","0.4"
"29","T2D","1","PCA","46","0.4"
"30","T2D","1","PCA","50","0.4"
"31","T2D","2","PCA","1","0.133333333333333"
"32","T2D","2","PCA","2","0.133333333333333"
"33","T2D","2","PCA","3","0.133333333333333"
"34","T2D","2","PCA","4","0.133333333333333"
"35","T2D","2","PCA","5","0.133333333333333"
"36","T2D","2","PCA","6","0.133333333333333"
"37","T2D","2","PCA","7","0.133333333333333"
"38","T2D","2","PCA","8","0.133333333333333"
"39","T2D","2","PCA","9","0.133333333333333"
"40","T2D","2","PCA","10","0.133333333333333"
"41","T2D","2","PCA","11","0.133333333333333"
"42","T2D","2","PCA","12","0.133333333333333"
"43","T2D","2","PCA","13","0.133333333333333"
"44","T2D","2","PCA","14","0.133333333333333"
"45","T2D","2","PCA","15","0.2"
"46","T2D","2","PCA","16","0.2"
"47","T2D","2","PCA","18","0.2"
"48","T2D","2","PCA","19","0.133333333333333"
"49","T2D","2","PCA","21","0.133333333333333"
