"","sim","fold","alg","r","lhat"
"1","T2D","1","PCA","1","0.266666666666667"
"2","T2D","1","PCA","2","0.266666666666667"
"3","T2D","1","PCA","3","0.266666666666667"
"4","T2D","1","PCA","4","0.266666666666667"
"5","T2D","1","PCA","5","0.266666666666667"
"6","T2D","1","PCA","6","0.466666666666667"
"7","T2D","1","PCA","7","0.533333333333333"
"8","T2D","1","PCA","8","0.466666666666667"
"9","T2D","1","PCA","9","0.4"
"10","T2D","1","PCA","10","0.4"
"11","T2D","1","PCA","11","0.466666666666667"
"12","T2D","1","PCA","12","0.4"
"13","T2D","1","PCA","13","0.4"
"14","T2D","1","PCA","14","0.4"
"15","T2D","1","PCA","15","0.4"
"16","T2D","1","PCA","16","0.333333333333333"
"17","T2D","1","PCA","18","0.333333333333333"
"18","T2D","1","PCA","19","0.2"
"19","T2D","1","PCA","21","0.266666666666667"
"20","T2D","1","PCA","23","0.266666666666667"
"21","T2D","1","PCA","24","0.333333333333333"
"22","T2D","1","PCA","26","0.266666666666667"
"23","T2D","1","PCA","29","0.333333333333333"
"24","T2D","1","PCA","31","0.333333333333333"
"25","T2D","1","PCA","34","0.2"
"26","T2D","1","PCA","36","0.2"
"27","T2D","1","PCA","39","0.2"
"28","T2D","1","PCA","43","0.266666666666667"
"29","T2D","1","PCA","46","0.266666666666667"
"30","T2D","1","PCA","50","0.333333333333333"
"31","T2D","2","PCA","1","0.466666666666667"
"32","T2D","2","PCA","2","0.466666666666667"
"33","T2D","2","PCA","3","0.466666666666667"
"34","T2D","2","PCA","4","0.466666666666667"
"35","T2D","2","PCA","5","0.466666666666667"
"36","T2D","2","PCA","6","0.4"
"37","T2D","2","PCA","7","0.4"
"38","T2D","2","PCA","8","0.4"
"39","T2D","2","PCA","9","0.4"
"40","T2D","2","PCA","10","0.333333333333333"
"41","T2D","2","PCA","11","0.266666666666667"
"42","T2D","2","PCA","12","0.333333333333333"
"43","T2D","2","PCA","13","0.333333333333333"
"44","T2D","2","PCA","14","0.333333333333333"
"45","T2D","2","PCA","15","0.333333333333333"
"46","T2D","2","PCA","16","0.333333333333333"
"47","T2D","2","PCA","18","0.333333333333333"
"48","T2D","2","PCA","19","0.333333333333333"
"49","T2D","2","PCA","21","0.333333333333333"
"50","T2D","2","PCA","23","0.333333333333333"
"51","T2D","2","PCA","24","0.266666666666667"
"52","T2D","2","PCA","26","0.266666666666667"
"53","T2D","2","PCA","29","0.2"
"54","T2D","2","PCA","31","0.2"
"55","T2D","2","PCA","34","0.2"
"56","T2D","2","PCA","36","0.266666666666667"
"57","T2D","2","PCA","39","0.266666666666667"
"58","T2D","2","PCA","43","0.2"
"59","T2D","2","PCA","46","0.2"
"60","T2D","2","PCA","50","0.2"
"61","T2D","3","PCA","1","0.4"
"62","T2D","3","PCA","2","0.4"
"63","T2D","3","PCA","3","0.4"
"64","T2D","3","PCA","4","0.533333333333333"
"65","T2D","3","PCA","5","0.4"
"66","T2D","3","PCA","6","0.4"
"67","T2D","3","PCA","7","0.4"
"68","T2D","3","PCA","8","0.4"
"69","T2D","3","PCA","9","0.333333333333333"
"70","T2D","3","PCA","10","0.333333333333333"
"71","T2D","3","PCA","11","0.333333333333333"
"72","T2D","3","PCA","12","0.266666666666667"
"73","T2D","3","PCA","13","0.266666666666667"
"74","T2D","3","PCA","14","0.266666666666667"
"75","T2D","3","PCA","15","0.333333333333333"
"76","T2D","3","PCA","16","0.266666666666667"
"77","T2D","3","PCA","18","0.266666666666667"
"78","T2D","3","PCA","19","0.266666666666667"
"79","T2D","3","PCA","21","0.266666666666667"
"80","T2D","3","PCA","23","0.333333333333333"
"81","T2D","3","PCA","24","0.333333333333333"
"82","T2D","3","PCA","26","0.333333333333333"
"83","T2D","3","PCA","29","0.266666666666667"
"84","T2D","3","PCA","31","0.266666666666667"
"85","T2D","3","PCA","34","0.266666666666667"
"86","T2D","3","PCA","36","0.266666666666667"
"87","T2D","3","PCA","39","0.266666666666667"
"88","T2D","3","PCA","43","0.266666666666667"
